Date,Close/Last,Volume,Open,High,Low
09/05/2017,$138.4494,3098684,$138.8946,$139.7246,$138.1203
09/01/2017,$139.456,3348757,$138.3913,$139.8625,$138.3913
08/31/2017,$138.4397,3650650,$138.43,$139.0495,$138.0526
08/30/2017,$137.9848,2733727,$138.6623,$138.6817,$137.8396
08/29/2017,$138.5462,3008013,$137.5396,$138.822,$137.346
08/28/2017,$137.9364,5131244,$139.4851,$139.9206,$137.8203
08/25/2017,$139.1269,2871315,$138.7011,$139.5625,$138.6527
08/24/2017,$138.3526,3590994,$137.9267,$139.0689,$137.6848
08/23/2017,$137.5783,4048117,$136.1845,$138.4591,$136.1651
08/22/2017,$136.4846,2544345,$136.1264,$136.6201,$135.8748
08/21/2017,$135.8264,3188408,$135.1101,$135.9135,$134.6649
08/18/2017,$135.2166,4151484,$136.349,$136.6201,$135.1004
08/17/2017,$136.1845,4357359,$137.9461,$138.3042,$136.1845
08/16/2017,$137.9267,3287450,$137.2395,$138.3236,$137.0653
08/15/2017,$137.5105,4681540,$137.9751,$138.7398,$136.0684
08/14/2017,$137.7525,2244010,$137.4428,$138.1784,$137.3847
08/11/2017,$137.2879,3004080,$137.8783,$138.0138,$136.9782
08/10/2017,$137.2879,4524754,$137.0943,$137.8493,$136.6975
08/09/2017,$137.2202,2925024,$137.2008,$137.4718,$136.6588
08/08/2017,$137.5492,3295007,$137.4428,$138.1784,$137.4428
08/07/2017,$138.8656,4615775,$140.3465,$140.4336,$138.1687
08/04/2017,$140.5014,2549397,$140.3465,$140.724,$139.7658
08/03/2017,$140.2884,3034711,$139.7948,$140.6756,$139.7948
08/02/2017,$139.8142,3433707,$140.4626,$140.6272,$139.5915
08/01/2017,$140.6369,3201765,$140.3465,$140.995,$140.0755
07/31/2017,$140.0271,4342497,$139.7464,$140.2787,$139.5431
07/28/2017,$139.6593,3054692,$140.1626,$140.3852,$139.2237
07/27/2017,$140.4143,6375899,$140.3465,$140.7288,$139.0301
07/26/2017,$140.6949,3928866,$141.5757,$141.7596,$139.8335
07/25/2017,$141.4983,4207232,$141.8661,$142.7566,$141.3434
07/24/2017,$141.3047,3877119,$142.2823,$142.321,$141.1208
